"","President","Sentences","sent.id","nword","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","snipets","ldatopic","ldahash","Government","Spirit","Nation","Democracy","Determination","Freedom","Misc","America","Arm","Justice","Citizen","Fear","Equality","Constitution","Strive"
"2","AbrahamLincoln-1","I do not consider it necessary at present for me to discuss those matters of administration about which there is no special anxiety or excitement.","  2","25","0.03998401","0.11995202","0.00000000","0.03998401","0.11995202","0.03998401","0.07996801","0.03998401","0.03998401","0.11995202","Fellow-Citizens of the United States:In compliance with a custom as old as the Government itself, I appear before you to address you briefly and to take in your presence the oath prescribed by the Constitution of the United States to be taken by the President before he enters on the execution of this office.  Apprehension seems to exist among the people of the Southern States that by the accession of a Republican Administration their property and their peace and personal security are to be endangered."," 4","Democracy","0.09578544","0.04980843","0.03831418","0.10727969","0.04980843","0.04980843","0.03831418","0.04980843","0.08429119","0.07279693","0.10727969","0.03831418","0.06130268","0.10727969","0.04980843"
"3","AbrahamLincoln-1","Apprehension seems to exist among the people of the Southern States that by the accession of a Republican Administration their property and their peace and personal security are to be endangered.","  3","31","0.00000000","0.03224766","0.00000000","0.06449532","0.03224766","0.00000000","0.00000000","0.06449532","0.06449532","0.03224766","I do not consider it necessary at present for me to discuss those matters of administration about which there is no special anxiety or excitement.  There has never been any reasonable cause for such apprehension.","10","Justice","0.05291005","0.06878307","0.06878307","0.06878307","0.05291005","0.06878307","0.05291005","0.05291005","0.06878307","0.10052910","0.06878307","0.06878307","0.06878307","0.08465608","0.05291005"
"4","AbrahamLincoln-1","There has never been any reasonable cause for such apprehension.","  4","10","0.00000000","0.00000000","0.00000000","0.09990010","0.00000000","0.00000000","0.00000000","0.00000000","0.09990010","0.00000000","Apprehension seems to exist among the people of the Southern States that by the accession of a Republican Administration their property and their peace and personal security are to be endangered.  Indeed, the most ample evidence to the contrary has all the while existed and been open to their inspection."," 4","Democracy","0.08796296","0.04629630","0.07407407","0.14351852","0.04629630","0.04629630","0.04629630","0.04629630","0.06018519","0.04629630","0.06018519","0.04629630","0.04629630","0.07407407","0.12962963"
"5","AbrahamLincoln-1","Indeed, the most ample evidence to the contrary has all the while existed and been open to their inspection.","  5","19","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.05260389","0.00000000","There has never been any reasonable cause for such apprehension.  It is found in nearly all the published speeches of him who now addresses you.","10","Justice","0.08888889","0.07222222","0.07222222","0.08888889","0.05555556","0.05555556","0.05555556","0.05555556","0.05555556","0.10555556","0.05555556","0.05555556","0.07222222","0.05555556","0.05555556"
"6","AbrahamLincoln-1","It is found in nearly all the published speeches of him who now addresses you.","  6","15","0.00000000","0.06662225","0.00000000","0.00000000","0.06662225","0.00000000","0.00000000","0.06662225","0.00000000","0.13324450","Indeed, the most ample evidence to the contrary has all the while existed and been open to their inspection.  I do but quote from one of those speeches when I declare that--I have no purpose, directly or indirectly, to interfere with the institution of slavery in the States where it exists.","15","Strive","0.06190476","0.04761905","0.04761905","0.04761905","0.04761905","0.04761905","0.04761905","0.06190476","0.06190476","0.09047619","0.04761905","0.09047619","0.06190476","0.10476190","0.13333333"
"7","AbrahamLincoln-1","I do but quote from one of those speeches when I declare that--I have no purpose, directly or indirectly, to interfere with the institution of slavery in the States where it exists.","  7","32","0.03124024","0.03124024","0.03124024","0.03124024","0.00000000","0.03124024","0.03124024","0.00000000","0.06248047","0.03124024","It is found in nearly all the published speeches of him who now addresses you.  I believe I have no lawful right to do so, and I have no inclination to do so.","14","Constitution","0.08888889","0.07222222","0.05555556","0.05555556","0.05555556","0.05555556","0.07222222","0.05555556","0.07222222","0.05555556","0.05555556","0.05555556","0.05555556","0.10555556","0.08888889"
"8","AbrahamLincoln-1","I believe I have no lawful right to do so, and I have no inclination to do so.","  8","18","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.05552471","0.00000000","0.05552471","I do but quote from one of those speeches when I declare that--I have no purpose, directly or indirectly, to interfere with the institution of slavery in the States where it exists.  Those who nominated and elected me did so with full knowledge that I had made this and many similar declarations and had never recanted them;"," 5","Determination","0.05936073","0.04566210","0.04566210","0.05936073","0.08675799","0.05936073","0.07305936","0.05936073","0.05936073","0.08675799","0.05936073","0.07305936","0.05936073","0.08675799","0.08675799"
"9","AbrahamLincoln-1","Those who nominated and elected me did so with full knowledge that I had made this and many similar declarations and had never recanted them;","  9","25","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.07996801","I believe I have no lawful right to do so, and I have no inclination to do so.  and more than this, they placed in the platform for my acceptance, and as a law to themselves and to me, the clear and emphatic resolution which I now read:'Resolved', That the maintenance inviolate of the rights of the States, and especially the right of each State to order and control its own domestic institutions according to its own judgment exclusively, is essential to that balance of power on which the perfection and endurance of our political fabric depend;","14","Constitution","0.05098039","0.03921569","0.08627451","0.14509804","0.03921569","0.03921569","0.03921569","0.05098039","0.05098039","0.05098039","0.05098039","0.03921569","0.06274510","0.19215686","0.06274510"
"10","AbrahamLincoln-1","and more than this, they placed in the platform for my acceptance, and as a law to themselves and to me, the clear and emphatic resolution which I now read:'Resolved', That the maintenance inviolate of the rights of the States, and especially the right of each State to order and control its own domestic institutions according to its own judgment exclusively, is essential to that balance of power on which the perfection and endurance of our political fabric depend;"," 10","79","0.00000000","0.02531325","0.00000000","0.00000000","0.01265663","0.00000000","0.02531325","0.05062650","0.00000000","0.06328313","Those who nominated and elected me did so with full knowledge that I had made this and many similar declarations and had never recanted them;  and we denounce the lawless invasion by armed force of the soil of any State or Territory, no matter what pretext, as among the gravest of crimes."," 9","Arm","0.08675799","0.04566210","0.05936073","0.04566210","0.07305936","0.07305936","0.08675799","0.04566210","0.10045662","0.05936073","0.04566210","0.05936073","0.07305936","0.05936073","0.08675799"
"11","AbrahamLincoln-1","and we denounce the lawless invasion by armed force of the soil of any State or Territory, no matter what pretext, as among the gravest of crimes."," 11","27","0.14809330","0.00000000","0.07404665","0.07404665","0.00000000","0.00000000","0.00000000","0.00000000","0.18511662","0.03702332","and more than this, they placed in the platform for my acceptance, and as a law to themselves and to me, the clear and emphatic resolution which I now read:'Resolved', That the maintenance inviolate of the rights of the States, and especially the right of each State to order and control its own domestic institutions according to its own judgment exclusively, is essential to that balance of power on which the perfection and endurance of our political fabric depend;  I now reiterate these sentiments, and in doing so I only press upon the public attention the most conclusive evidence of which the case is susceptible that the property, peace, and security of no section are to be in any wise endangered by the now incoming Administration.","14","Constitution","0.06270627","0.07260726","0.08250825","0.09240924","0.03300330","0.03300330","0.04290429","0.07260726","0.04290429","0.04290429","0.04290429","0.03300330","0.05280528","0.24092409","0.05280528"
"12","AbrahamLincoln-1","I now reiterate these sentiments, and in doing so I only press upon the public attention the most conclusive evidence of which the case is susceptible that the property, peace, and security of no section are to be in any wise endangered by the now incoming Administration."," 12","47","0.00000000","0.04254414","0.00000000","0.04254414","0.02127207","0.02127207","0.00000000","0.02127207","0.06381621","0.08508828","and we denounce the lawless invasion by armed force of the soil of any State or Territory, no matter what pretext, as among the gravest of crimes.  I add, too, that all the protection which, consistently with the Constitution and the laws, can be given will be cheerfully given to all the States when lawfully demanded, for whatever cause--as cheerfully to one section as to another.","14","Constitution","0.05284553","0.08943089","0.05284553","0.04065041","0.04065041","0.04065041","0.05284553","0.07723577","0.06504065","0.06504065","0.04065041","0.10162602","0.05284553","0.13821138","0.08943089"
"13","AbrahamLincoln-1","I add, too, that all the protection which, consistently with the Constitution and the laws, can be given will be cheerfully given to all the States when lawfully demanded, for whatever cause--as cheerfully to one section as to another."," 13","39","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","I now reiterate these sentiments, and in doing so I only press upon the public attention the most conclusive evidence of which the case is susceptible that the property, peace, and security of no section are to be in any wise endangered by the now incoming Administration.  There is much controversy about the delivering up of fugitives from service or labor.","14","Constitution","0.05701754","0.04385965","0.04385965","0.07017544","0.04385965","0.05701754","0.09649123","0.05701754","0.05701754","0.07017544","0.05701754","0.05701754","0.05701754","0.17543860","0.05701754"
"14","AbrahamLincoln-1","There is much controversy about the delivering up of fugitives from service or labor."," 14","14","0.00000000","0.07137759","0.00000000","0.00000000","0.07137759","0.00000000","0.07137759","0.07137759","0.07137759","0.07137759","I add, too, that all the protection which, consistently with the Constitution and the laws, can be given will be cheerfully given to all the States when lawfully demanded, for whatever cause--as cheerfully to one section as to another.  The clause I now read is as plainly written in the Constitution as any other of its provisions:No person held to service or labor in one State, under the laws thereof, escaping into another, shall in consequence of any law or regulation therein be discharged from such service or labor, but shall be delivered up on claim of the party to whom such service or labor may be due.","14","Constitution","0.03267974","0.03267974","0.03267974","0.04248366","0.03267974","0.03267974","0.04248366","0.04248366","0.05228758","0.05228758","0.04248366","0.05228758","0.05228758","0.33660131","0.12091503"
"15","AbrahamLincoln-1","The clause I now read is as plainly written in the Constitution as any other of its provisions:No person held to service or labor in one State, under the laws thereof, escaping into another, shall in consequence of any law or regulation therein be discharged from such service or labor, but shall be delivered up on claim of the party to whom such service or labor may be due."," 15","69","0.00000000","0.01449065","0.00000000","0.00000000","0.01449065","0.00000000","0.01449065","0.02898131","0.00000000","0.01449065","There is much controversy about the delivering up of fugitives from service or labor.  It is scarcely questioned that this provision was intended by those who made it for the reclaiming of what we call fugitive slaves;","14","Constitution","0.06666667","0.05128205","0.05128205","0.06666667","0.05128205","0.06666667","0.06666667","0.06666667","0.06666667","0.06666667","0.05128205","0.06666667","0.06666667","0.09743590","0.09743590"
"16","AbrahamLincoln-1","It is scarcely questioned that this provision was intended by those who made it for the reclaiming of what we call fugitive slaves;"," 16","23","0.04345937","0.04345937","0.04345937","0.04345937","0.00000000","0.08691873","0.00000000","0.04345937","0.08691873","0.04345937","The clause I now read is as plainly written in the Constitution as any other of its provisions:No person held to service or labor in one State, under the laws thereof, escaping into another, shall in consequence of any law or regulation therein be discharged from such service or labor, but shall be delivered up on claim of the party to whom such service or labor may be due.  and the intention of the lawgiver is the law.","14","Constitution","0.03875969","0.05038760","0.06201550","0.03875969","0.03875969","0.03875969","0.03875969","0.03875969","0.03875969","0.03875969","0.03875969","0.03875969","0.03875969","0.35271318","0.10852713"
"17","AbrahamLincoln-1","and the intention of the lawgiver is the law."," 17"," 9","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.11098779","0.00000000","0.00000000","It is scarcely questioned that this provision was intended by those who made it for the reclaiming of what we call fugitive slaves;  All members of Congress swear their support to the whole Constitution--to this provision as much as to any other.","14","Constitution","0.06467662","0.06467662","0.04975124","0.06467662","0.06467662","0.06467662","0.06467662","0.07960199","0.06467662","0.06467662","0.04975124","0.07960199","0.04975124","0.12437811","0.04975124"
